#{"t_start": 1776603862.111948, "env_id": "None"}
r,l,t
53.730117,66,541.833426
50.247177,63,542.275444
53.791756,66,542.741453
59.554711,75,543.2676
51.626919,62,543.705832
55.767641,67,544.175583
55.942675,75,544.700399
58.751793,83,545.2828
55.329424,73,545.794901
58.408876,75,546.320716
57.551646,78,546.869933
50.925344,66,547.33268
60.367744,84,547.925035
55.355546,73,548.437557
55.19224,78,548.98684
57.457367,69,549.472719
58.011248,84,550.061932
56.858144,70,550.552126
54.266441,71,551.049971
57.907579,70,551.54166
58.803599,76,552.074152
57.854661,84,552.663788
54.515223,70,553.156981
59.435933,89,553.781314
52.89092,65,554.23797
52.597217,69,554.721649
56.360946,70,555.213113
56.216338,78,555.7631
54.01678,81,556.330917
58.114434,73,556.842935
54.008855,70,557.333948
55.688488,74,557.851882
58.711826,76,558.385164
54.499081,72,558.888037
54.657525,71,559.385019
58.426331,75,559.910086
61.836173,88,560.529144
57.336135,79,561.084198
53.99667,74,561.604252
59.283122,71,562.102111
53.719372,70,562.59317
58.702721,71,563.090353
57.696619,89,563.717125
57.646778,74,564.234748
56.92793,71,564.732252
57.623347,75,565.256336
57.973457,77,565.795269
60.387709,71,566.291721
57.589142,79,566.843502
56.179945,69,567.327599
56.650734,69,567.811567
60.778125,80,568.374292
59.638882,78,568.921347
54.619511,73,569.431807
54.646975,99,570.128588
58.718126,72,570.631456
57.663742,71,571.12962
57.890147,77,572.001566
57.672142,71,572.500645
58.762621,86,573.105664
57.609096,72,573.610605
55.648393,68,574.086596
58.036814,87,574.699753
55.03807,74,575.217991
58.145704,74,575.736004
60.013784,95,576.401716
55.382015,67,576.873
55.828812,70,577.363646
59.464927,77,577.899204
58.334673,76,578.431706
56.990997,74,578.950174
58.710433,86,579.552211
57.067382,82,580.12944
57.4303,75,580.658129
58.424279,83,581.239967
57.259682,77,581.777885
59.411458,81,582.346835
57.61865,83,582.927289
61.250622,98,583.614969
58.51473,83,584.196958
57.968652,97,584.872164
60.692548,94,585.527249
61.368963,86,586.12726
63.309806,81,586.689225
55.771982,77,587.226941
57.496411,77,587.763461
60.036231,75,588.28925
61.464783,96,588.954256
58.426819,70,589.442632
55.984545,74,589.959293
62.427424,92,590.605324
56.998387,94,591.264391
59.045957,85,591.855223
61.493676,98,592.539144
60.657054,100,593.238604
59.984183,81,593.803451
61.317375,98,594.485368
61.698734,88,595.100383
62.095518,84,595.688608
62.212591,81,596.25464
64.047835,94,596.909881
59.234024,74,597.424978
59.234304,83,598.005718
63.001165,89,598.627658
59.824021,99,599.323803
59.533341,82,599.902787
58.966618,116,600.716534
62.063754,105,601.452741
61.91101,93,602.104879
57.676207,114,602.902806
58.283331,76,603.43284
60.787669,102,604.146858
59.517411,91,604.784918
60.079309,87,605.393569
62.639178,89,606.019693
63.47405,89,606.645023
60.309046,78,607.191028
61.544317,100,607.888892
58.428416,92,608.534784
58.508688,113,609.326044
60.832113,106,610.066242
58.782272,97,610.744964
59.0205,80,611.306216
61.115281,82,611.878801
62.111755,86,612.477988
59.122952,95,613.143258
60.323271,91,613.780043
57.073694,92,614.423428
61.342381,82,614.995269
60.598318,82,615.567549
41.457252,61,615.993483
62.947534,87,616.602092
58.952261,90,617.234983
57.41379,63,617.671458
59.631542,78,618.215113
56.734663,83,618.795166
58.953812,98,619.478542
59.762363,96,620.148284
59.135358,105,620.884331
60.347401,82,621.458142
58.53034,91,622.093402
63.19442,89,622.716394
60.148511,77,623.254827
60.690079,80,623.814842
61.164464,98,624.499809
59.292939,85,625.093441
41.476353,59,625.506753
44.306932,74,626.02545
59.737929,94,626.682699
60.685567,91,627.321627
57.96123,96,627.995001
61.425094,95,628.660873
61.151751,111,629.44194
62.420066,89,630.066759
57.334859,98,630.75962
58.00523,116,631.574858
59.447876,98,632.260853
56.347439,87,632.87533
55.705585,90,633.512073
61.364524,102,634.230343
62.179434,108,634.99048
60.462069,75,635.517859
62.106901,92,636.16344
61.976663,92,636.809241
63.950773,105,637.542302
63.800168,96,638.214131
63.355946,94,638.876454
58.705458,104,639.605635
59.035202,98,640.296477
58.67426,79,640.853044
55.621157,71,641.353778
63.148603,85,642.391304
59.566888,81,642.959449
57.819171,94,643.618513
62.989678,97,644.297104
56.49017,120,645.139353
58.143557,82,645.717535
59.46642,104,646.449956
60.662424,104,647.184536
59.324423,78,647.733727
61.149606,106,648.478461
58.529366,109,649.246464
59.90874,95,649.912585
62.895141,103,650.633739
61.217013,93,651.283708
61.96402,98,651.966395
57.85432,114,652.765896
58.742626,75,653.292836
62.428326,79,653.845936
60.061483,116,654.657575
59.089926,104,655.385677
63.962686,91,656.022886
63.060755,90,656.652564
61.302318,99,657.347585
60.306784,76,657.878891
59.587595,85,658.47714
57.59147,126,659.36011
60.360913,77,659.899938
63.421045,92,660.543966
62.149449,91,661.18336
61.069141,105,661.921165
60.78383,108,662.678005
60.417986,84,663.266634
60.802669,81,663.836277
62.660551,80,664.395101
57.833574,112,665.183348
59.477037,109,665.952082
61.979386,109,666.718181
66.152409,100,667.416641
64.200696,111,668.19526
58.748431,82,668.769387
66.367257,104,669.499229
58.79898,127,670.388362
63.27797,102,671.103199
63.187837,117,671.925146
63.866677,91,672.562339
64.171877,109,673.327476
58.57268,73,673.841718
59.933883,74,674.362803
61.660892,91,675.000423
63.947558,118,675.82619
60.069172,84,676.4147
62.486741,101,677.12562
58.55913,91,677.76072
62.294116,97,678.441459
59.096026,80,679.005597
53.536832,140,679.991844
61.803442,130,680.905758
62.567946,83,681.487733
61.604134,80,682.049712
60.806001,117,682.870843
60.67501,74,683.388819
59.597401,101,684.098642
62.709804,98,684.78699
59.456923,85,685.383785
49.441062,146,686.410028
65.826108,86,687.013959
48.159551,147,688.046998
63.26426,96,688.72214
54.682541,147,689.754143
61.855106,79,690.309933
61.600901,91,690.949642
61.360019,109,691.715127
61.878064,90,692.346179
61.769034,123,693.20825
62.460163,109,693.97238
56.648679,131,694.893096
62.080991,97,695.573112
29.6095,150,696.624364
60.37261,79,697.178198
61.40241,114,697.978575
62.594237,93,698.630275
58.904969,131,699.54871
50.68575,141,700.536402
60.020146,121,701.387146
51.860367,145,702.404704
54.848562,132,703.333526
58.844582,111,704.110764
60.413129,94,704.773573
64.1949,97,705.453513
60.324068,99,706.147597
64.558458,84,706.738243
59.48686,127,707.632509
62.146134,113,708.42493
54.175804,134,709.362889
61.74502,121,710.21459
20.830582,150,711.267933
32.563657,150,712.794142
63.706399,102,713.507856
65.608966,112,714.293875
62.670606,86,714.899181
50.653505,150,715.952983
62.845981,98,716.639281
63.138869,100,717.340127
57.388194,130,718.25099
58.955527,121,719.098194
60.730232,115,719.907521
62.539933,94,720.563408
48.277203,142,721.561092
43.331166,150,722.612075
65.59504,116,723.42862
61.472274,112,724.214498
57.013778,127,725.105159
62.914378,102,725.820256
57.389525,125,726.695289
60.095456,88,727.31239
60.909097,97,727.993362
66.604034,105,728.73029
57.492513,125,729.60643
58.793283,73,730.119153
61.063823,101,730.830463
59.084516,116,731.642741
46.997418,147,732.672928
62.368565,101,733.382542
61.099714,111,734.164415
58.807994,115,734.972638
60.464265,95,735.641914
59.390576,98,736.331132
51.074724,138,737.301722
47.872081,138,738.272253
55.029813,129,739.178914
61.103838,96,739.851912
61.219086,104,740.581116
15.356408,150,741.633045
63.143323,85,742.230918
64.115953,104,742.960831
63.48191,107,743.712856
61.768629,98,744.398211
62.714875,85,744.992037
51.233494,149,746.033987
60.289565,104,746.76449
61.94637,113,747.555085
59.504466,123,748.413437
63.499577,104,749.141376
58.454365,74,749.660599
60.786884,79,750.21559
61.817722,102,750.930449
